date,participant,trial,nTarg,targOnset,targFlash,targRT,targCor,targGap,FA_rt,isPrac,isStationary
2021-11-12,davidarvo,25,8,7.261139,1,7.72844,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,25,8,8.116493,2,8.747192,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,26,7,1.7337,1,2.380106,0,0.01250001,NaN,0,0
2021-11-12,davidarvo,26,7,2.572198,2,3.113671,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,26,7,3.455778,2,4.064357,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,26,7,4.334345,1,4.739573,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,26,7,5.187125,2,5.873947,0,0.01250001,NaN,0,0
2021-11-12,davidarvo,26,7,6.079763,1,6.738433,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,26,7,6.929942,2,7.385899,0,0.01250001,NaN,0,0
2021-11-12,davidarvo,27,8,1.652618,1,2.02178,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,27,8,2.512331,1,2.980026,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,27,8,3.351748,1,3.841099,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,27,8,4.197665,2,4.651702,0,0.01250001,NaN,0,0
2021-11-12,davidarvo,27,8,5.080704,1,5.484023,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,27,8,5.933489,1,6.35104,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,27,8,7.14045,1,7.583639,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,27,8,7.994727,1,8.472559,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,28,8,1.631656,2,2.031536,0,0.01250001,NaN,0,0
2021-11-12,davidarvo,28,8,2.534306,2,2.995203,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,28,8,3.430819,2,3.98395,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,28,8,4.328988,1,4.841028,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,28,8,5.183128,1,5.706586,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,28,8,6.025761,2,6.576368,0,0.01250001,NaN,0,0
2021-11-12,davidarvo,28,8,6.92877,2,7.50839,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,28,8,7.822494,2,8.355701,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,29,7,1.642078,2,2.230302,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,29,7,2.551734,1,2.997489,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,29,7,3.404945,2,3.876517,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,29,7,4.297401,2,4.779834,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,29,7,5.193961,2,5.706496,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,29,7,6.095007,2,6.693834,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,29,7,6.99253,1,7.471221,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,30,8,1.795162,1,2.264568,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,30,8,2.642972,1,3.101476,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,30,8,3.485651,1,3.875477,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,30,8,4.319927,2,4.814642,0,0.01250001,NaN,0,0
2021-11-12,davidarvo,30,8,5.203448,2,5.743867,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,30,8,6.092864,1,6.539588,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,30,8,6.928136,2,7.470111,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,30,8,7.828796,2,8.386984,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,31,8,1.675621,2,2.174305,0,0.01250001,NaN,0,0
2021-11-12,davidarvo,31,8,2.574495,2,3.036234,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,31,8,3.460361,1,4.075299,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,31,8,4.296303,1,4.842777,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,31,8,5.149596,2,5.724468,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,31,8,6.034571,1,6.509346,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,31,8,6.870314,1,7.516664,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,31,8,7.712219,2,8.273487,0,0.01250001,NaN,0,0
2021-11-12,davidarvo,32,7,1.67078,2,2.222867,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,32,7,2.567944,2,3.07871,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,32,7,3.467006,1,4.100627,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,32,7,4.313922,1,4.797534,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,32,7,5.155451,2,5.641177,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,32,7,6.040752,1,6.555223,0,0.01250001,NaN,0,0
2021-11-12,davidarvo,32,7,7.243935,1,7.73656,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,33,8,1.748125,2,2.241391,0,0.01250001,NaN,0,0
2021-11-12,davidarvo,33,8,2.643993,1,3.163975,0,0.01250001,NaN,0,0
2021-11-12,davidarvo,33,8,3.485362,1,4.024894,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,33,8,4.336403,2,4.88558,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,33,8,5.313025,2,6.043643,0,0.01250001,NaN,0,0
2021-11-12,davidarvo,33,8,6.206942,1,6.827735,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,33,8,7.051033,1,7.627681,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,33,8,7.894164,2,8.4614,0,0.01250001,NaN,0,0
2021-11-12,davidarvo,34,8,1.840771,2,2.548937,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,34,8,2.719544,2,3.385715,0,0.01250001,NaN,0,0
2021-11-12,davidarvo,34,8,3.605431,1,4.129506,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,34,8,4.452234,1,4.923233,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,34,8,5.291111,2,5.862388,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,34,8,6.206545,1,6.804523,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,34,8,7.12855,2,7.78805,0,0.01250001,NaN,0,0
2021-11-12,davidarvo,34,8,8.016757,2,8.594481,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,35,7,1.381043,1,1.944397,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,35,7,2.219009,1,2.820193,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,35,7,3.073229,2,3.574155,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,35,7,3.974316,2,4.551425,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,35,7,4.862034,2,5.365833,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,35,7,5.750365,1,6.261677,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,35,7,6.607796,2,7.105925,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,36,7,1.617759,1,2.081763,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,36,7,2.453956,2,2.930303,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,36,7,3.340115,1,3.930148,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,36,7,4.175121,2,4.674613,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,36,7,5.072314,2,5.786335,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,36,7,5.958505,1,6.407139,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,36,7,7.448752,1,8.006311,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,37,7,1.609567,2,2.208664,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,37,7,2.496351,2,3.043149,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,37,7,3.392603,1,3.856585,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,37,7,4.230688,2,4.729858,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,37,7,5.120924,2,5.751295,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,37,7,6.007005,1,6.499229,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,37,7,7.484346,1,8.052238,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,38,8,1.765136,1,2.197778,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,38,8,2.607278,2,3.130618,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,38,8,3.497162,1,3.930484,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,38,8,4.340695,1,4.771387,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,38,8,5.181873,2,5.683267,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,38,8,6.061006,1,6.50623,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,38,8,6.896001,1,7.382208,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,38,8,7.95698,2,8.394665,0,0.01250001,NaN,0,0
2021-11-12,davidarvo,39,8,1.752776,2,2.228787,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,39,8,2.63238,2,3.150097,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,39,8,3.519536,1,4.038267,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,39,8,4.350718,1,4.851377,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,39,8,5.184899,2,5.796862,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,39,8,6.082405,2,6.586838,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,39,8,6.960695,1,7.571949,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,39,8,7.919592,2,8.494501,1,0.01250001,NaN,0,0
